Manufacturer,Model,Power Perf Factor,Unit Sales,Price,Year Resale Value,Retention %,Retention Value,Engine Size,Horsepower,Vehicle_type,Fuel Efficiency,Wheelbase,Width,Length,Curb Weight,Fuel Capacity,Latest Launch
Cadillac,Catera,83.48309358,11185,"$31,010","$18,225",59%,POOR,3,200,,22,107.4,70.3,194.8,3.77,18,28-09-2011
Cadillac,Escalade,109.5091165,14785,"$46,225","$31,245",68%,POOR,5.7,255,Car,15,117.5,77,201.2,5.572,30,17-04-2012
Chevrolet,Cavalier,46.36334747,145519,"$13,260",null,70%,GOOD,2.2,115,Passenger,27,104.1,67.9,180.9,2.676,14.3,17-08-2011
Chevrolet,Malibu,67.31446216,135126,"$16,535","$11,225",68%,POOR,3.1,170,Passenger,25,107,69.4,190.4,3.051,15,19-03-2012
Chevrolet,Lumina,69.9913956,24629,"$18,890","$10,310",55%,POOR,3.1,175,Passenger,25,107.5,72.5,200.9,3.33,16.6,24-05-2011
Chevrolet,Monte Carlo,72.03091719,42593,"$19,390","$11,525",59%,POOR,3.4,180,Passenger,27,110.5,72.7,197.9,3.34,17,22-12-2011
Chevrolet,Camaro,81.11854333,26402,"$24,340","$13,025",54%,POOR,3.8,200,Passenger,25,101.1,74.1,193.2,3.5,16.8,23-10-2011
Chevrolet,Corvette,141.14115,17947,"$55,705","$36,225",65%,POOR,5.7,345,Passenger,22,104.5,73.6,179.7,3.21,19.1,NA
Chevrolet,Prizm,48.2976361,32299,"$13,960","$9,125",65%,POOR,1.8,Null,Passenger,33,97.1,66.7,174.3,2.398,13.2,11-09-2011
Chevrolet,Metro,23.27627233,21855,"$9,235","$5,160",56%,POOR,1,55,Passenger,45,93.1,62.6,149.4,1.895,10.3,13-04-2012
Chevrolet,Impala,71.83803944,107995,,"$11,550",Null,,3.4,180,Passenger,27,110.5,73,200,3.389,17,18-06-2011
Chrysler,Sebring Coupe,65.95718396,7854,"$19,840","$12,360",62%,POOR,2.5,163,Passenger,24,103.7,69.7,190.9,2.967,15.9,16-01-2012
Chrysler,Sebring Conv.,Null,32775,"$24,495","$14,180",58%,POOR,,168,Passenger,24,106,69.2,193,?,16,17-11-2011
Chrysler,Concorde,80.02378204,31148,"$22,245","$13,725",62%,POOR,2.7,200,Passenger,26,113,74.4,209.1,3.452,17,06-06-2012
Chrysler,Cirrus,53.56619987,32306,"$16,480","$12,640",77%,GOOD,2,132,Passenger,27,108,71,186,2.911,16,06-10-2011
Chrysler,LHS,101.3292807,13462,"$28,340","$17,325",61%,POOR,3.5,253,Passenger,23,113,74.4,207.7,3.564,17,08-05-2012
Chrysler,300M,101.6552441,30696,"$29,185","$18,425",63%,POOR,3.5,253,Passenger,23,113,74.4,197.8,3.567,17,10-02-2012
Dodge,Neon,52.08489875,76034,"$12,640","$7,750",61%,POOR,2,132,Passenger,29,105,74.4,174.4,2.567,12.5,12-12-2011
Dodge,Avenger,65.65050834,4734,"$19,045","$12,545",66%,POOR,2.5,163,Passenger,24,103.7,69.1,190.2,2.879,15.9,01-07-2012
Dodge,Stratus,67.87610784,71186,"$20,230","$10,185",50%,POOR,2.5,168,Passenger,24,108,71,186,3.058,16,31-10-2011
Dodge,Intrepid,80.83147017,88028,"$22,505","$12,275",55%,POOR,2.7,202,Passenger,22,113,74.7,203.7,3.489,17,02-06-2012
Dodge,Viper,188.144323,916,"$69,725","$58,470",84%,GOOD,8,450,Passenger,16,96.2,75.7,NA,3.375,19,07-08-2011
Dodge,Ram Pickup,90.21170005,227061,"$19,460","$15,060",77%,GOOD,5.2,NA,Car,17,138.7,79.3,224.2,4.47,26,06-03-2012
Dodge,Ram Wagon,71.13529161,16767,"$21,315","$15,510",73%,GOOD,3.9,175,Car,15,109.6,78.8,192.6,4.245,32,06-01-2012
Dodge,Ram Van,70.07832154,31038,"$18,575","$13,425",72%,GOOD,3.9,175,Car,16,127.2,78.8,208.5,4.298,32,26-07-2012
Dodge,Dakota,49.64500177,111313,"$16,980","$11,260",66%,POOR,2.5,120,Car,19,131,71.5,215,3.557,22,25-11-2011
Dodge,Durango,92.85412522,101323,"$26,310","$21,436",81%,GOOD,5.2,230,Car,17,115.7,71.7,193.5,4.394,25,27-06-2012
Dodge,Caravan,61.22700031,181749,"$19,565","$12,025",61%,POOR,2.4,150,Car,24,113.3,76.8,186.3,3.533,20,01-09-2011
Ford,Escort,44.08370946,70227,"$12,070","$7,425",62%,POOR,2,110,Passenger,30,98.4,67,174.7,2.468,12.7,31-03-2012
Ford,Mustang,76.50918456,113369,"$21,560","$12,760",59%,POOR,3.8,190,Passenger,24,101.3,73.1,183.2,3.203,15.7,31-01-2012
Ford,Contour,67.35101072,35068,"$17,035","$8,835",52%,POOR,2.5,170,Passenger,25,106.5,69.1,184.6,2.769,?,20-08-2012
Ford,Taurus,62.5037395,245815,"$17,885","$10,055",56%,POOR,3,155,Passenger,24,108.5,73,197.6,3.368,16,20-12-2011
Ford,Focus,43.11713201,175670,"$12,315","$8,670",70%,GOOD,2,107,Passenger,30,103,66.9,174.8,2.564,13.2,22-07-2012
Ford,Crown Victoria,80.49953671,63403,"$22,195","$14,210",64%,POOR,4.6,200,Passenger,21,114.7,78.2,212,3.908,19,26-09-2011
Ford,Explorer,87.63549578,276747,"$31,930","$16,640",52%,POOR,4,210,Car,19,111.6,70.2,190.7,3.876,21,25-04-2012
Ford,Windstar,62.09504839,155787,"$21,410","$13,175",62%,POOR,3,150,Car,21,120.7,76.6,200.9,3.761,26,25-02-2012
Ford,Expedition,100.0248023,125338,"$36,135","$23,575",65%,POOR,4.6,240,Car,16,119,78.7,204.6,4.808,26,14-09-2012
Ford,Ranger,47.38953131,220650,"$12,050","$7,850",65%,POOR,2.5,119,Car,23,117.5,69.4,200.7,3.086,20,14-01-2012
Ford,F-Series,89.40193473,540561,"$26,935","$15,075",56%,POOR,4.6,220,Car,18,138.5,79.1,224.5,4.241,25.1,16-08-2012
Honda,Civic,42.87909734,199685,"$12,885","$9,850",76%,GOOD,1.6,106,Passenger,32,103.2,67.1,175.1,2.339,11.9,21-10-2011
Honda,Accord,54.26954829,230902,"$15,350","$13,210",86%,GOOD,2.3,135,Passenger,27,106.9,70.3,188.8,2.932,17.1,20-05-2012
Honda,CR-V,60.08796662,73203,"$20,550","$17,710",86%,GOOD,2,146,Car,24,103.2,68.9,177.6,3.219,15.3,21-03-2012
Honda,Passport,83.6025008,12855,"$26,600","$17,525",66%,POOR,3.2,205,Car,19,106.4,70.4,178.2,3.857,21.1,09-10-2012
Honda,Odyssey,85.21769134,76029,"$26,000","$19,490",75%,GOOD,3.5,210,Car,23,118.1,75.6,201.2,4.288,20,08-02-2012
Hyundai,Accent,36.67228358,41184,"$9,699","$5,860",60%,POOR,1.5,92,Passenger,31,96.1,65.7,166.7,2.24,11.9,10-09-2012
Hyundai,Elantra,54.59004516,66692,"$11,799","$7,825",66%,POOR,2,140,Passenger,27,100.4,66.9,174,2.626,14.5,15-11-2011
Hyundai,Sonata,58.758249,29450,"$14,999","$8,910",59%,POOR,2.4,148,Passenger,25,106.3,71.6,185.4,3.072,17.2,14-06-2012
Infiniti,I30,92.43688923,23713,"$29,465","$19,690",67%,POOR,3,227,Passenger,25,108.3,70.2,193.7,3.342,18.5,15-04-2012
Jaguar,S-Type,102.1789848,15467,"$42,800","$33,219",78%,GOOD,3,240,Passenger,21,114.5,71.6,191.3,3.65,18.4,03-11-2012
Jeep,Wrangler,48.67289791,55557,"$14,460","$13,475",93%,GOOD,2.5,120,Car,17,93.4,66.7,152,3.045,19,04-03-2012
Jeep,Cherokee,76.58443962,80556,"$21,620","$13,775",64%,POOR,4,190,Car,20,101.4,69.4,167.5,3.194,20,05-10-2012
Jeep,Grand Cherokee,80.38777912,157040,"$26,895","$18,810",70%,GOOD,4,195,Car,19,105.9,72.3,181.5,3.88,20.5,10-12-2011
Lexus,ES300,87.21100104,24072,"$31,505","$26,975",86%,GOOD,3,210,Passenger,23,105.1,70.5,190.2,3.373,18.5,09-07-2012
Lexus,GS300,94.9466984,12698,"$37,805","$32,075",85%,GOOD,3,225,Passenger,23,110.2,70.9,189.2,3.638,19.8,10-05-2012
Lexus,GS400,125.0133574,3334,"$46,305","$38,955",84%,GOOD,4,300,Passenger,21,110.2,70.9,189.2,3.693,19.8,28-11-2012
Lexus,LS400,124.4467163,6375,"$54,005","$40,375",75%,GOOD,4,290,Passenger,22,112.2,72,196.7,3.89,22.5,29-03-2012
Lexus,LX470,105.760458,9126,"$60,105","$43,870",73%,GOOD,4.7,230,Car,15,112.2,76.4,192.5,5.401,25.4,30-10-2012
Lexus,RX300,91.94380156,51238,"$34,605","$29,140",84%,GOOD,3,220,Car,21,103,71.5,180.1,3.9,17.2,04-01-2012
Lincoln,Continental,113.5402069,13798,"$39,080","$20,525",53%,POOR,4.6,275,Passenger,22,109,73.6,208.5,3.868,20,03-08-2012
Lincoln,Town car,93.9579169,48911,"$43,330","$21,725",50%,POOR,4.6,215,Passenger,21,117.7,78.2,215.3,4.121,19,04-06-2012
Lincoln,Navigator,123.9720467,22925,"$42,660","$20,765",49%,POOR,5.4,300,Car,15,119,79.9,204.8,5.393,30,23-12-2012
Mitsubishi,Mirage,45.83218056,26232,"$13,987","$8,325",60%,POOR,1.8,113,Passenger,30,98.4,66.5,173.6,2.25,13.2,23-04-2012
Mitsubishi,Eclipse,62.44196235,42541,"$19,047","$10,395",55%,POOR,2.4,154,Passenger,24,100.8,68.9,175.4,2.91,15.9,24-11-2012
Mitsubishi,Galant,58.60677292,55616,"$17,357","$10,595",61%,POOR,2.4,145,Passenger,25,103.7,68.5,187.8,2.945,16.3,29-01-2012
Mitsubishi,Diamante,84.83077858,5711,"$24,997","$16,575",66%,POOR,3.5,210,Passenger,22,107.1,70.3,194.1,3.443,19,28-08-2012
Mitsubishi,3000GT,67.54415494,110,"$25,450","$20,940",82%,GOOD,3,161,Passenger,21,97.2,72.4,180.3,3.131,19.8,29-06-2012
Mitsubishi,Montero,83.92081504,11337,"$31,807","$19,125",60%,POOR,3.5,200,Car,18,107.3,69.9,186.6,4.52,24.3,17-01-2012
Mitsubishi,Montero Sport,70.66094179,39348,"$22,527","$13,880",62%,POOR,3,173,Car,20,107.3,66.7,178.3,3.51,19.5,18-05-2012
Mercury,Mystique,50.99774761,14351,"$16,240","$8,800",54%,POOR,2,125,Passenger,28,106.5,69.1,184.8,2.769,15,19-12-2012
Mercury,Cougar,51.11347426,26529,"$16,540","$13,890",84%,GOOD,2,125,Passenger,30,106.4,69.6,185,2.892,16,23-02-2012
Mercury,Sable,62.23996663,67956,"$19,035","$11,030",58%,POOR,3,153,Passenger,24,108.5,73,199.7,3.379,16,22-09-2012
Mercury,Grand Marquis,80.65769646,81174,"$22,605","$14,875",66%,POOR,4.6,200,Passenger,21,114.7,78.2,212,3.958,19,24-07-2012
Mercury,Mountaineer,85.94974425,27609,"$27,560","$20,430",74%,GOOD,4,210,Car,18,111.6,70.2,190.1,3.876,21,13-02-2008
Mercury,Villager,69.671461,20380,"$22,510","$14,795",66%,POOR,3.3,170,Car,21,112.2,74.9,194.7,3.944,20,20-10-2009
Mercedes-B,C-Class,78.28073088,18392,"$31,750","$26,050",82%,GOOD,2.3,185,Passenger,26,105.9,67.7,177.4,3.25,16.4,24-04-2011
Mercedes-B,E-Class,98.2497375,27602,"$49,900","$41,450",83%,GOOD,3.2,221,Passenger,25,111.5,70.8,189.4,3.823,21.1,12-07-2011
Mercedes-B,S-Class,125.2738757,16774,"$69,700","$50,375",72%,GOOD,4.3,275,Passenger,21,121.5,73.1,203.1,4.133,23.2,13-06-2011
Mercedes-B,SL-Class,139.9822936,3311,"$82,600","$58,600",71%,GOOD,5,302,Passenger,20,99,71.3,177.1,4.125,21.1,17-03-2011
Mercedes-B,SLK,82.80736193,7998,"$38,900","$32,436",83%,GOOD,2.3,190,Passenger,26,94.5,67.5,157.9,3.055,15.9,16-01-2011
Mercedes-B,SLK230,81.84896924,1526,"$41,000","$28,635",70%,GOOD,2.3,185,Passenger,27,94.5,67.5,157.3,2.975,14,06-08-2011
Mercedes-B,CLK Coupe,92.92579177,11592,"$41,600","$29,200",70%,GOOD,3.2,215,Passenger,26,105.9,67.8,180.3,3.213,16.4,08-07-2011
Mercedes-B,CL500,141.1009845,954,"$85,500","$63,423",74%,GOOD,5,302,Passenger,20,113.6,73.1,196.6,4.115,23.2,11-04-2011
Mercedes-B,M-Class,90.49553213,28976,"$35,300","$28,720",81%,GOOD,3.2,215,Car,20,111,72.2,180.6,4.387,19,10-02-2011
Nissan,Sentra,50.24197791,42643,"$13,499","$8,450",63%,POOR,1.8,126,Passenger,30,99.8,67.3,177.5,2.593,13.2,31-08-2011
Nissan,Altima,63.31372783,88094,"$20,390","$11,295",55%,POOR,2.4,155,Passenger,25,103.1,69.1,183.5,3.012,15.9,02-08-2011
Nissan,Maxima,89.42782031,79853,"$26,249","$15,125",58%,POOR,3,222,Passenger,25,108.3,70.3,190.5,3.294,18.5,06-05-2011
Nissan,Quest,71.17166413,27308,"$26,399","$15,380",58%,POOR,3.3,170,Car,21,112.2,74.9,194.8,3.991,20,07-03-2011
Nissan,Pathfinder,72.29035508,42574,"$29,299","$17,810",61%,POOR,3.3,170,Car,19,106.3,71.7,182.6,3.947,21,25-09-2011
Nissan,Xterra,69.78294434,54158,"$22,799","$13,093",57%,POOR,3.3,170,Car,18,104.3,70.4,178,3.821,19.4,24-01-2011
Nissan,Frontier,67.88927059,65005,"$17,890","$10,670",60%,POOR,3.3,170,Car,18,116.1,66.5,196.1,3.217,19.4,27-08-2011
Oldsmobile,Cutlass,60.86161155,1112,"$18,145","$11,240",62%,POOR,3.1,150,Passenger,25,107,69.4,192,3.102,15.2,31-05-2011
Oldsmobile,Intrigue,86.27252291,38554,"$24,150","$17,100",71%,GOOD,3.5,215,Passenger,23,109,73.6,195.9,3.455,18,01-04-2011
Oldsmobile,Alero,60.72744693,80255,"$18,270","$11,459",63%,POOR,2.4,150,Passenger,27,107,70.1,186.7,2.958,15,20-10-2009
Oldsmobile,Aurora,103.4416926,14690,"$36,229","$19,890",55%,POOR,4,250,Passenger,22,113.8,74.4,205.4,3.967,18.5,18-02-2011
Oldsmobile,Bravada,80.51167259,20017,"$31,598","$19,925",63%,POOR,4.3,190,Car,19,107,67.8,181.2,4.068,17.5,21-09-2011
Oldsmobile,Silhouette,76.09657042,24361,"$25,345","$15,240",60%,POOR,3.4,185,Car,22,120,72.2,201.4,3.948,25,25-06-2011
Plymouth,Neon,52.08489875,32734,"$12,640","$7,750",61%,POOR,2,132,Passenger,29,105,74.4,174.4,2.559,12.5,26-04-2011
Plymouth,Breeze,53.41189767,5240,"$16,080","$9,800",61%,POOR,2,132,Passenger,27,108,71,186.3,2.942,16,14-11-2011
Plymouth,Voyager,60.95118512,24155,"$18,850","$12,025",64%,POOR,2.4,150,Car,24,113.3,76.8,186.3,3.528,20,24-04-2011
Plymouth,Prowler,106.9844563,1872,"$43,000","$30,434",71%,GOOD,3.5,253,Passenger,21,113.3,76.3,165.4,2.85,12,27-06-2012
Pontiac,Sunfire,62.0158703,51645,"$21,610","$13,790",64%,POOR,2.4,150,Passenger,27,104.1,68.4,181.9,2.906,15,25-01-2012
Pontiac,Grand Am,70.38973726,131097,"$19,720","$10,290",52%,POOR,3.4,175,Passenger,25,107,70.4,186.3,3.091,15.2,26-11-2012
Pontiac,Firebird,81.49272616,19911,"$25,310","$17,805",70%,GOOD,3.8,200,Passenger,25,101.1,74.5,193.4,3.492,16.8,16-06-2012
Pontiac,Grand Prix,78.31816813,92364,"$21,665","$14,010",65%,POOR,3.8,195,Passenger,25,110.5,72.7,196.5,3.396,18,15-10-2012
Pontiac,Bonneville,82.6613556,35945,"$23,755","$13,225",56%,POOR,3.8,205,Passenger,24,112.2,72.6,202.5,3.59,17.5,18-05-2011
Pontiac,Montana,76.20843952,39572,"$25,635","$14,215",55%,POOR,3.4,185,Car,23,120,72.7,201.3,3.942,25,22-07-2012
Porsche,Boxter,93.4373307,8982,"$41,430","$41,250",100%,GOOD,2.7,217,Passenger,22,95.2,70.1,171,2.778,17,19-02-2012
Porsche,Carrera Coupe,134.3909754,1280,"$71,020","$60,625",85%,GOOD,3.4,300,Passenger,21,92.6,69.5,174.5,3.032,17,21-12-2012
Porsche,Carrera Cabrio,135.9147096,1866,"$74,970","$67,550",90%,GOOD,3.4,300,Passenger,23,92.6,69.5,174.5,3.075,17,11-07-2011
Saab,09-May,73.50377819,9191,"$33,120","$22,789",69%,POOR,2.3,170,Passenger,23,106.4,70.6,189.2,3.28,18.5,09-11-2012
Saab,09-Mar,76.02304771,12115,"$26,100","$18,255",70%,GOOD,2,185,Passenger,23,102.6,67.4,182.2,2.99,16.9,12-06-2011
Saturn,SL,39.98642475,80620,"$10,685","$9,200",86%,GOOD,1.9,100,Passenger,33,102.4,66.4,176.9,2.332,12.1,16-08-2012
Saturn,SC,40.70007242,24546,"$12,535","$10,590",84%,GOOD,1.9,100,Passenger,33,102.4,66.4,180,2.367,12.1,16-03-2011
Saturn,SW,49.86577367,5223,"$14,290","$10,790",76%,GOOD,1.9,124,Passenger,31,102.4,66.4,176.9,2.452,12.1,15-01-2011
Saturn,LW,56.29524304,8472,"$18,835","$13,700",73%,GOOD,2.2,137,Passenger,27,106.5,69,190.4,3.075,13.1,05-08-2011
Saturn,LS,54.81972825,49989,"$15,010","$9,900",66%,POOR,2.2,137,Passenger,28,106.5,69,190.4,2.91,13.1,04-12-2012
Subaru,Outback,67.7659076,47107,"$22,695","$16,770",74%,GOOD,2.5,165,Passenger,25,103.5,67.5,185.8,3.415,16.9,07-07-2011
Subaru,Forester,66.76294331,33028,"$20,095","$14,832",74%,GOOD,2.5,165,Car,24,99.4,68.3,175.2,3.125,15.9,10-09-2012
Toyota,Corolla,47.96897242,142535,"$13,108","$10,025",76%,GOOD,1.8,120,Passenger,33,97,66.7,174,2.42,13.2,11-04-2011
Toyota,Camry,54.37241965,247994,"$17,518","$13,245",76%,GOOD,2.2,133,Passenger,27,105.2,70.1,188.5,2.998,18.5,10-02-2011
Toyota,Avalon,84.91189826,63849,"$25,545","$18,140",71%,GOOD,3,210,Passenger,26,107.1,71.7,191.9,3.417,18.5,31-08-2011
Toyota,Celica,56.49603034,33269,"$16,875","$15,445",92%,GOOD,1.8,140,Passenger,31,102.4,68.3,170.5,2.425,14.5,29-12-2012
Toyota,Tacoma,55.29711658,84087,"$11,528","$9,575",83%,GOOD,2.4,142,Car,23,103.3,66.5,178.7,2.58,15.1,01-08-2011
Toyota,Sienna,78.02721947,65119,"$22,368","$18,689",84%,GOOD,3,194,Car,22,114.2,73.4,193.5,3.759,20.9,05-10-2012
Toyota,RAV4,51.95510887,25106,"$16,888","$13,325",79%,GOOD,2,127,Car,27,94.9,66.7,163.8,2.668,15.3,06-05-2011
Toyota,4Runner,62.35557713,68411,"$22,288","$19,425",87%,GOOD,2.7,150,Car,23,105.3,66.5,183.3,3.44,18.5,07-03-2011
Toyota,Land Cruiser,102.5289842,9835,"$51,728","$34,080",66%,POOR,4.7,230,Car,15,112.2,76.4,192.5,5.115,25.4,25-09-2011
Volkswagen,Golf,46.94387676,9761,"$14,900","$11,425",77%,GOOD,2,115,Passenger,26,98.9,68.3,163.3,2.767,14.5,24-01-2011
Volkswagen,Jetta,47.63823666,83721,"$16,700","$13,240",79%,GOOD,2,115,Passenger,26,98.9,68.3,172.3,2.853,14.5,27-08-2011
Volkswagen,Passat,61.70138136,51102,"$21,200","$16,725",79%,GOOD,1.8,150,Passenger,27,106.4,68.5,184.1,3.043,16.4,30-10-2012
Volkswagen,Cabrio,48.90737225,9569,"$19,990","$16,575",83%,GOOD,2,115,Passenger,26,97.4,66.7,160.4,3.079,13.7,31-05-2011
Volkswagen,GTI,47.94684106,5596,"$17,500","$13,760",79%,GOOD,2,115,Passenger,26,98.9,68.3,163.3,2.762,14.6,01-04-2011
Volkswagen,Beetle,47.32963226,49463,"$15,900","$11,986",75%,GOOD,2,115,Passenger,26,98.9,67.9,161.1,2.769,14.5,20-10-2011
Volvo,S40,66.1130568,16957,"$23,400","$14,334",61%,POOR,1.9,160,Passenger,25,100.5,67.6,176.6,2.998,15.8,18-02-2011
Volvo,V40,66.4988123,3545,"$24,400","$15,252",63%,POOR,1.9,160,Passenger,25,100.5,67.6,176.6,3.042,15.8,21-09-2011
Volvo,S70,70.65449545,15245,"$27,500","$18,900",69%,POOR,2.4,168,Passenger,25,104.9,69.3,185.9,3.208,17.9,24-11-2012
Volvo,V70,71.1559776,17531,"$28,800","$20,223",70%,GOOD,2.4,168,Passenger,25,104.9,69.3,186.2,3.259,17.9,25-06-2011
Volvo,C70,101.6233572,3493,"$45,500","$34,175",75%,GOOD,2.3,236,Passenger,23,104.9,71.5,185.7,3.601,18.5,26-04-2011
Volvo,S80,85.73565451,18969,"$36,000","$26,403",73%,GOOD,2.9,201,Passenger,24,109.9,72.1,189.8,3.6,21.1,14-11-2011
